"Table 2.1. Personal Income and Its Disposition"
"[Billions of dollars] Seasonally adjusted at annual rates" 
"Bureau of Economic Analysis" 
"Last Revised on: January 26, 2018 - Next Release Date February 28, 2018"
"Line","","2015","2015","2015","2015","2016","2016","2016","2016","2017","2017","2017","2017"
"Line","","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4"
"1","Personal income",15301.0,15516.1,15625.5,15769.2,15751.0,15910.1,16028.0,16025.7,16245.2,16339.6,16451.9,16630.8
"2","    Compensation of employees",9541.6,9655.9,9730.0,9905.5,9838.6,9979.6,10081.4,10014.9,10166.3,10243.0,10336.5,10432.8
"3","        Wages and salaries",7718.4,7813.7,7873.5,8030.0,7964.9,8090.2,8178.1,8107.8,8232.1,8295.2,8374.3,8456.7
"4","            Private industries",6459.8,6543.3,6593.9,6736.1,6669.7,6785.2,6863.4,6792.7,6901.6,6958.4,7029.2,7104.5
"5","            Government",1258.6,1270.4,1279.6,1293.9,1295.1,1305.0,1314.6,1315.2,1330.5,1336.8,1345.1,1352.2
"6","        Supplements to wages and salaries",1823.3,1842.2,1856.5,1875.5,1873.7,1889.4,1903.4,1907.1,1934.2,1947.9,1962.2,1976.0
"7","            Employer contributions for employee pension and insurance funds1",1261.7,1273.9,1284.1,1292.2,1298.6,1305.5,1313.3,1321.7,1332.7,1341.7,1350.4,1358.3
"8","            Employer contributions for government social insurance",561.6,568.3,572.4,583.3,575.1,583.9,590.1,585.4,601.6,606.1,611.8,617.7
"9","    Proprietors' income with inventory valuation and capital consumption adjustments",1312.8,1313.9,1323.2,1325.4,1327.6,1339.5,1346.1,1354.6,1380.2,1378.6,1381.9,1401.9
"10","        Farm",52.0,53.0,58.7,51.0,46.8,46.7,41.4,37.8,41.9,37.0,31.9,29.7
"11","        Nonfarm",1260.7,1260.9,1264.5,1274.3,1280.8,1292.8,1304.6,1316.7,1338.4,1341.6,1350.0,1372.1
"12","    Rental income of persons with capital consumption adjustment",639.3,658.4,670.9,681.4,697.6,704.8,708.1,718.9,730.8,740.3,747.2,759.7
"13","    Personal income receipts on assets",2350.2,2406.9,2413.8,2377.5,2374.9,2371.4,2373.2,2391.6,2420.1,2434.5,2433.9,2476.5
"14","        Personal interest income",1303.4,1385.0,1403.2,1377.5,1397.4,1408.4,1416.9,1438.5,1476.6,1465.1,1460.6,1501.4
"15","        Personal dividend income",1046.8,1021.9,1010.6,1000.0,977.5,962.9,956.4,953.0,943.5,969.4,973.2,975.1
"16","    Personal current transfer receipts",2645.4,2682.7,2698.0,2711.4,2739.9,2760.2,2777.4,2795.9,2831.9,2836.9,2858.4,2878.9
"17","        Government social benefits to persons",2594.9,2630.3,2643.9,2656.0,2683.4,2703.0,2719.7,2737.9,2773.4,2777.8,2798.5,2818.2
"18","            Social security2",861.6,869.4,874.5,881.6,886.2,894.0,899.7,906.0,916.1,922.8,930.0,935.5
"19","            Medicare3",622.3,630.7,637.9,643.8,648.8,653.5,658.2,662.9,667.4,671.5,676.4,681.9
"20","            Medicaid",524.0,538.2,540.5,541.4,549.4,558.0,566.8,577.8,581.4,577.4,583.4,589.1
"21","            Unemployment insurance",32.8,31.9,32.1,31.9,32.5,31.9,31.6,30.7,30.2,28.6,28.5,27.8
